Date,Description,Card Member,Account #,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
07/24/2026,TECHGADGETS STORE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,63.24,,TECHGADGETS STORE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF37113,Services & General
07/03/2026,GREENMARKET GROCERY SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,152.65,,GREENMARKET GROCERY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF19589,Groceries & Household
07/19/2026,PETCARE DEPOT SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,35.19,,PETCARE DEPOT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF47647,Pet Care
07/22/2026,GREENMARKET GROCERY SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,89.44,,GREENMARKET GROCERY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF49447,Groceries & Household
07/08/2026,METRO NYC TRANSIT SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,24.73,,METRO NYC TRANSIT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF43474,Travel & Transit
07/15/2026,STREAMFLIX MOVIES SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,81.75,,STREAMFLIX MOVIES SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF68044,Digital & Subscriptions
07/12/2026,CLOUDSCALE SOFTWARE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,52.3,,CLOUDSCALE SOFTWARE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF72137,Digital & Subscriptions
07/23/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,-170.18,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF24829,Refund & Credit
07/20/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,81.67,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF49045,Dining & Food Delivery
07/06/2026,AURA BEAUTY & SPA SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,63.54,,AURA BEAUTY & SPA SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF14614,"Fashion, Beauty & Luxury"
07/22/2026,METRO NYC TRANSIT SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,11.44,,METRO NYC TRANSIT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF85373,Travel & Transit
07/08/2026,TECHGADGETS STORE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,101.29,,TECHGADGETS STORE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF67286,Services & General
07/13/2026,TECHGADGETS STORE SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,43.11,,TECHGADGETS STORE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF77270,Services & General
07/07/2026,HORIZON AIR LINES SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,488.06,,HORIZON AIR LINES SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF35186,Travel & Transit
07/05/2026,STREAMFLIX MOVIES SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,42.81,,STREAMFLIX MOVIES SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF62931,Digital & Subscriptions
07/24/2026,HORIZON AIR LINES SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,454.76,,HORIZON AIR LINES SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF44941,Travel & Transit
07/12/2026,METROPOLITAN ELECTRIC SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,38.03,,METROPOLITAN ELECTRIC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF44882,Services & General
07/03/2026,APEX FITNESS CLUB SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,94.36,,APEX FITNESS CLUB SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF37879,Health & Fitness
07/05/2026,PETCARE DEPOT SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,80.88,,PETCARE DEPOT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF27912,Pet Care
07/20/2026,TECHGADGETS STORE SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,21.67,,TECHGADGETS STORE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF30792,Services & General
07/17/2026,STREAMFLIX MOVIES SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,41.4,,STREAMFLIX MOVIES SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF83998,Digital & Subscriptions
07/22/2026,AURA BEAUTY & SPA SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,90.68,,AURA BEAUTY & SPA SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF68010,"Fashion, Beauty & Luxury"
07/25/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,82.3,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF91557,Dining & Food Delivery
07/14/2026,GREENMARKET GROCERY SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,75.84,,GREENMARKET GROCERY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF90851,Groceries & Household
07/17/2026,STARLIGHT COFFEE CO SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,22.17,,STARLIGHT COFFEE CO SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF50819,Dining & Food Delivery
07/21/2026,AURA BEAUTY & SPA SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,-71.26,,AURA BEAUTY & SPA SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF63109,Refund & Credit
07/05/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,54.26,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF14782,Dining & Food Delivery
07/20/2026,APEX FITNESS CLUB SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,49.04,,APEX FITNESS CLUB SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF19170,Health & Fitness
07/12/2026,STARLIGHT COFFEE CO SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,25.03,,STARLIGHT COFFEE CO SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF91754,Dining & Food Delivery
07/08/2026,PETCARE DEPOT SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,21.08,,PETCARE DEPOT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF13446,Pet Care
07/03/2026,METROPOLITAN ELECTRIC SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,91.85,,METROPOLITAN ELECTRIC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF91299,Services & General
07/25/2026,PETCARE DEPOT SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,70.93,,PETCARE DEPOT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF63087,Pet Care
07/22/2026,APEX FITNESS CLUB SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,64.9,,APEX FITNESS CLUB SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF76480,Health & Fitness
07/09/2026,AURA BEAUTY & SPA SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,70.41,,AURA BEAUTY & SPA SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF95472,"Fashion, Beauty & Luxury"
07/07/2026,URBAN GOURMET BISTRO SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,112.54,,URBAN GOURMET BISTRO SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF96450,Dining & Food Delivery
07/23/2026,TECHGADGETS STORE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,47.73,,TECHGADGETS STORE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF94817,Services & General
07/15/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,109.46,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF86898,Dining & Food Delivery
07/08/2026,BOUTIQUE FASHION NYC SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,88.82,,BOUTIQUE FASHION NYC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF74689,"Fashion, Beauty & Luxury"
07/19/2026,CLOUDSCALE SOFTWARE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,73.16,,CLOUDSCALE SOFTWARE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF35393,Digital & Subscriptions
07/01/2026,URBAN GOURMET BISTRO SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,22.45,,URBAN GOURMET BISTRO SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF85082,Dining & Food Delivery
07/08/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,22.08,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF42117,Dining & Food Delivery
07/03/2026,STARLIGHT COFFEE CO SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,16.1,,STARLIGHT COFFEE CO SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF79115,Dining & Food Delivery
07/07/2026,METRO NYC TRANSIT SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,16.71,,METRO NYC TRANSIT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF52591,Travel & Transit
07/08/2026,CITY CENTER PHARMACY SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,-146.62,,CITY CENTER PHARMACY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF37496,Refund & Credit
07/07/2026,TECHGADGETS STORE SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,24.9,,TECHGADGETS STORE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF47289,Services & General
07/12/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,59.48,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF18026,Dining & Food Delivery
07/22/2026,BOUTIQUE FASHION NYC SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,172.42,,BOUTIQUE FASHION NYC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF49456,"Fashion, Beauty & Luxury"
07/02/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,57.28,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF10013,Dining & Food Delivery
07/08/2026,CLOUDSCALE SOFTWARE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,35.12,,CLOUDSCALE SOFTWARE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF41634,Digital & Subscriptions
07/05/2026,AURA BEAUTY & SPA SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,59.3,,AURA BEAUTY & SPA SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF52757,"Fashion, Beauty & Luxury"
07/08/2026,METRO NYC TRANSIT SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,24.92,,METRO NYC TRANSIT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF31063,Travel & Transit
07/26/2026,GREENMARKET GROCERY SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,212.96,,GREENMARKET GROCERY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF60008,Groceries & Household
07/02/2026,AURA BEAUTY & SPA SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,83.48,,AURA BEAUTY & SPA SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF77597,"Fashion, Beauty & Luxury"
07/03/2026,AURA BEAUTY & SPA SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,112.27,,AURA BEAUTY & SPA SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF55659,"Fashion, Beauty & Luxury"
07/06/2026,PETCARE DEPOT SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,57.67,,PETCARE DEPOT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF38728,Pet Care
07/13/2026,BOUTIQUE FASHION NYC SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,220.98,,BOUTIQUE FASHION NYC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF93306,"Fashion, Beauty & Luxury"
07/01/2026,APEX FITNESS CLUB SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,118.46,,APEX FITNESS CLUB SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF89287,Health & Fitness
07/10/2026,METRO NYC TRANSIT SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,13.86,,METRO NYC TRANSIT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF50698,Travel & Transit
07/05/2026,CITY CENTER PHARMACY SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,34.94,,CITY CENTER PHARMACY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF94623,Health & Fitness
07/19/2026,HORIZON AIR LINES SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,525.8,,HORIZON AIR LINES SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF45096,Travel & Transit
07/02/2026,STARLIGHT COFFEE CO SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,4.73,,STARLIGHT COFFEE CO SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF90018,Dining & Food Delivery
07/02/2026,BOUTIQUE FASHION NYC SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,-173.92,,BOUTIQUE FASHION NYC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF19309,Refund & Credit
07/03/2026,GREENMARKET GROCERY SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,161.03,,GREENMARKET GROCERY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF81172,Groceries & Household
07/13/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,27.59,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF32535,Dining & Food Delivery
07/19/2026,METROPOLITAN ELECTRIC SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,77.42,,METROPOLITAN ELECTRIC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF78758,Services & General
07/14/2026,URBAN GOURMET BISTRO SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,84.02,,URBAN GOURMET BISTRO SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF33524,Dining & Food Delivery
07/09/2026,URBAN GOURMET BISTRO SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,36.45,,URBAN GOURMET BISTRO SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF15321,Dining & Food Delivery
07/08/2026,CITY CENTER PHARMACY SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,42.89,,CITY CENTER PHARMACY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF52361,Health & Fitness
07/15/2026,APEX FITNESS CLUB SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,48.2,,APEX FITNESS CLUB SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF56535,Health & Fitness
07/01/2026,TECHGADGETS STORE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,63.12,,TECHGADGETS STORE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF28559,Services & General
07/03/2026,URBAN GOURMET BISTRO SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,71.45,,URBAN GOURMET BISTRO SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF85479,Dining & Food Delivery
07/05/2026,AURA BEAUTY & SPA SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,112.99,,AURA BEAUTY & SPA SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF48289,"Fashion, Beauty & Luxury"
07/08/2026,METROPOLITAN ELECTRIC SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,53.8,,METROPOLITAN ELECTRIC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF42177,Services & General
07/27/2026,APEX FITNESS CLUB SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,72.04,,APEX FITNESS CLUB SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF82144,Health & Fitness
07/22/2026,METRO NYC TRANSIT SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,23.52,,METRO NYC TRANSIT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF92472,Travel & Transit
07/05/2026,METRO NYC TRANSIT SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,9.98,,METRO NYC TRANSIT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF33767,Travel & Transit
07/24/2026,METROPOLITAN ELECTRIC SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,73.09,,METROPOLITAN ELECTRIC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF35382,Services & General
07/20/2026,METRO NYC TRANSIT SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,8.66,,METRO NYC TRANSIT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF97143,Travel & Transit
07/22/2026,CLOUDSCALE SOFTWARE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,81.59,,CLOUDSCALE SOFTWARE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF69009,Digital & Subscriptions
07/09/2026,METRO NYC TRANSIT SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,-165.33,,METRO NYC TRANSIT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF62463,Refund & Credit
07/03/2026,PETCARE DEPOT SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,81.6,,PETCARE DEPOT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF31553,Pet Care
07/02/2026,PETCARE DEPOT SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,15.37,,PETCARE DEPOT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF65499,Pet Care
07/21/2026,TECHGADGETS STORE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,117.88,,TECHGADGETS STORE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF47576,Services & General
07/18/2026,APEX FITNESS CLUB SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,89.1,,APEX FITNESS CLUB SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF32652,Health & Fitness
07/04/2026,AURA BEAUTY & SPA SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,22.9,,AURA BEAUTY & SPA SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF92340,"Fashion, Beauty & Luxury"
07/18/2026,METROPOLITAN ELECTRIC SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,18.78,,METROPOLITAN ELECTRIC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF95081,Services & General
07/14/2026,CLOUDSCALE SOFTWARE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,28.38,,CLOUDSCALE SOFTWARE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF58986,Digital & Subscriptions
07/26/2026,METRO NYC TRANSIT SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,27.32,,METRO NYC TRANSIT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF66290,Travel & Transit
07/07/2026,STARLIGHT COFFEE CO SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,20.21,,STARLIGHT COFFEE CO SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF91051,Dining & Food Delivery
07/12/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,96.91,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF69534,Dining & Food Delivery
07/20/2026,METROPOLITAN ELECTRIC SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,93.7,,METROPOLITAN ELECTRIC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF29913,Services & General
07/06/2026,METROPOLITAN ELECTRIC SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,117.5,,METROPOLITAN ELECTRIC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF36085,Services & General
07/14/2026,TECHGADGETS STORE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,17.6,,TECHGADGETS STORE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF33040,Services & General
07/26/2026,CITY CENTER PHARMACY SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,112.74,,CITY CENTER PHARMACY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF77240,Health & Fitness
07/09/2026,TECHGADGETS STORE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,31.72,,TECHGADGETS STORE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF14995,Services & General
07/13/2026,CITY CENTER PHARMACY SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,106.58,,CITY CENTER PHARMACY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF65131,Health & Fitness
07/08/2026,PETCARE DEPOT SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,35.96,,PETCARE DEPOT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF61847,Pet Care
07/12/2026,METROPOLITAN ELECTRIC SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,-72.3,,METROPOLITAN ELECTRIC SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF24221,Refund & Credit
07/08/2026,TECHGADGETS STORE SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,17.48,,TECHGADGETS STORE SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF65333,Services & General
07/11/2026,HORIZON AIR LINES SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,310.94,,HORIZON AIR LINES SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF34192,Travel & Transit
07/12/2026,GREENMARKET GROCERY SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,170.09,,GREENMARKET GROCERY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF30271,Groceries & Household
